	CHEMBL101	CHEMBL1064	CHEMBL107	CHEMBL108	CHEMBL1089221	CHEMBL109	CHEMBL11	CHEMBL112	CHEMBL113	CHEMBL1177	CHEMBL12	CHEMBL1200688	CHEMBL1200714	CHEMBL1201082	CHEMBL1201088	CHEMBL1201089	CHEMBL1201093	CHEMBL1201097	CHEMBL1201288	CHEMBL123292	CHEMBL130	CHEMBL1314	CHEMBL1381098	CHEMBL139	CHEMBL1395	CHEMBL1411979	CHEMBL1430	CHEMBL1431	CHEMBL1440	CHEMBL1479	CHEMBL1503	CHEMBL154	CHEMBL1542	CHEMBL1560	CHEMBL1566	CHEMBL15770	CHEMBL159226	CHEMBL16	CHEMBL16068	CHEMBL16073	CHEMBL1609891	CHEMBL1628227	CHEMBL164290	CHEMBL165908	CHEMBL1697693	CHEMBL1697694	CHEMBL1697830	CHEMBL1697856	CHEMBL1790041	CHEMBL190	CHEMBL19224	CHEMBL193	CHEMBL20	CHEMBL203187	CHEMBL2037000	CHEMBL2105617	CHEMBL228514	CHEMBL23	CHEMBL232201	CHEMBL23832	CHEMBL25	CHEMBL26	CHEMBL267345	CHEMBL27	CHEMBL273386	CHEMBL2766015	CHEMBL288958	CHEMBL295416	CHEMBL295698	CHEMBL30	CHEMBL35	CHEMBL351487	CHEMBL374478	CHEMBL384467	CHEMBL388590	CHEMBL40	CHEMBL415	CHEMBL42	CHEMBL421	CHEMBL429	CHEMBL429023	CHEMBL44657	CHEMBL44814	CHEMBL44884	CHEMBL457	CHEMBL459	CHEMBL472	CHEMBL479	CHEMBL49	CHEMBL498	CHEMBL502074	CHEMBL502682	CHEMBL505	CHEMBL505513	CHEMBL514	CHEMBL517	CHEMBL521	CHEMBL521035	CHEMBL54	CHEMBL54349	CHEMBL562	CHEMBL56367	CHEMBL565	CHEMBL572	CHEMBL578	CHEMBL599	CHEMBL6	CHEMBL606759	CHEMBL623	CHEMBL629	CHEMBL633	CHEMBL637	CHEMBL64	CHEMBL643	CHEMBL646	CHEMBL6466	CHEMBL672	CHEMBL686	CHEMBL691	CHEMBL695	CHEMBL71	CHEMBL726	CHEMBL75880	CHEMBL782	CHEMBL8	CHEMBL806	CHEMBL822	CHEMBL83	CHEMBL833	CHEMBL843	CHEMBL85728	CHEMBL869	CHEMBL88	CHEMBL896	CHEMBL902	CHEMBL92401	CHEMBL95	CHEMBL964	CHEMBL986
CHEMBL101	0.0	0.7	0.63	0.31	0.51	0.78	0.33	0.4	0.73	0.53	0.39	0.78	0.49	0.6	0.35	0.58	0.81	0.73	0.56	0.71	0.52	0.81	0.45	0.42	0.69	0.58	0.82	0.92	0.58	0.59	0.63	0.62	0.81	0.72	0.75	0.56	0.63	0.37	0.63	0.43	0.83	0.6	0.85	0.84	0.94	0.65	0.7	0.44	0.61	0.74	0.58	0.45	0.83	0.84	0.82	0.5	0.73	0.48	0.63	0.39	0.64	0.55	0.71	0.63	0.55	0.77	0.88	0.53	0.59	0.81	0.59	0.45	0.62	0.72	0.66	0.41	0.39	0.48	0.59	0.54	0.66	0.68	1.0	0.82	0.63	0.59	0.58	0.45	0.63	0.59	0.65	0.55	0.49	0.68	0.76	0.4	0.53	0.68	0.56	0.5	0.69	0.57	0.66	0.6	0.48	0.62	0.54	0.86	0.49	0.51	0.61	0.57	0.48	0.42	0.52	0.64	0.64	0.41	0.64	0.78	0.45	0.46	0.76	0.54	0.48	0.34	0.48	0.61	0.56	0.57	0.39	0.59	0.86	0.51	0.79	0.46	0.47	0.87	0.71
CHEMBL1064	0.7	0.0	0.7	0.75	0.74	0.57	0.74	0.73	0.89	0.61	0.75	0.49	0.73	0.66	0.73	0.49	0.73	0.63	0.74	0.51	0.68	0.81	0.75	0.65	0.39	0.86	0.74	0.94	0.61	0.63	0.81	0.53	0.94	0.75	0.57	0.52	0.6	0.67	0.79	0.74	0.77	0.63	0.91	0.83	0.95	0.56	0.41	0.68	0.78	0.9	0.73	0.6	0.9	0.77	0.67	0.64	0.86	0.67	0.59	0.65	0.55	0.7	0.36	0.63	0.77	0.68	0.92	0.76	0.75	0.92	0.73	0.74	0.67	0.36	0.62	0.61	0.76	0.79	0.72	0.6	0.57	0.56	1.0	0.79	0.52	0.58	0.69	0.8	0.76	0.79	0.58	0.72	0.77	0.6	0.86	0.7	0.44	0.49	0.6	0.78	0.63	0.78	0.67	0.81	0.55	0.75	0.7	0.72	0.77	0.67	0.61	0.6	0.8	0.79	0.81	0.62	0.57	0.64	0.59	0.81	0.81	0.73	0.74	0.73	0.65	0.74	0.69	0.63	0.79	0.71	0.73	0.8	0.86	0.66	0.91	0.79	0.77	0.9	0.45
CHEMBL107	0.63	0.7	0.0	0.62	0.56	0.84	0.61	0.52	0.85	0.5	0.61	0.72	0.61	0.39	0.63	0.5	0.8	0.66	0.5	0.7	0.5	0.81	0.66	0.62	0.71	0.76	0.83	0.92	0.37	0.62	0.61	0.46	0.89	0.78	0.62	0.63	0.4	0.59	0.74	0.46	0.84	0.37	0.9	0.87	0.91	0.43	0.7	0.49	0.53	0.84	0.43	0.51	0.88	0.85	0.81	0.58	0.8	0.46	0.5	0.57	0.47	0.4	0.62	0.35	0.63	0.8	0.9	0.68	0.57	0.87	0.55	0.65	0.48	0.68	0.53	0.58	0.64	0.66	0.61	0.4	0.39	0.44	1.0	0.8	0.45	0.42	0.43	0.7	0.78	0.64	0.43	0.64	0.67	0.6	0.78	0.62	0.6	0.62	0.53	0.7	0.43	0.56	0.52	0.58	0.48	0.63	0.53	0.76	0.57	0.56	0.45	0.38	0.67	0.69	0.72	0.46	0.46	0.55	0.53	0.81	0.72	0.68	0.74	0.57	0.58	0.61	0.58	0.43	0.68	0.53	0.63	0.6	0.85	0.59	0.88	0.63	0.69	0.89	0.74
CHEMBL108	0.31	0.75	0.62	0.0	0.53	0.84	0.21	0.4	0.76	0.52	0.32	0.83	0.48	0.56	0.29	0.6	0.85	0.8	0.58	0.76	0.48	0.84	0.33	0.36	0.76	0.54	0.85	0.88	0.62	0.66	0.6	0.64	0.8	0.81	0.74	0.61	0.63	0.36	0.6	0.44	0.86	0.56	0.87	0.87	0.91	0.7	0.77	0.48	0.63	0.76	0.57	0.45	0.85	0.87	0.85	0.48	0.71	0.5	0.68	0.35	0.66	0.59	0.75	0.6	0.55	0.78	0.87	0.44	0.58	0.79	0.58	0.39	0.65	0.78	0.7	0.42	0.29	0.36	0.56	0.56	0.71	0.72	1.0	0.83	0.65	0.59	0.58	0.43	0.65	0.54	0.64	0.57	0.45	0.7	0.74	0.42	0.57	0.75	0.58	0.52	0.73	0.55	0.68	0.64	0.53	0.59	0.57	0.85	0.52	0.44	0.66	0.56	0.47	0.4	0.45	0.61	0.67	0.38	0.65	0.84	0.45	0.41	0.74	0.44	0.48	0.29	0.43	0.58	0.51	0.57	0.26	0.64	0.85	0.47	0.77	0.47	0.35	0.87	0.71
CHEMBL1089221	0.51	0.74	0.56	0.53	0.0	0.84	0.52	0.52	0.75	0.54	0.5	0.77	0.65	0.5	0.51	0.53	0.85	0.77	0.48	0.81	0.55	0.86	0.57	0.51	0.78	0.61	0.86	0.93	0.6	0.57	0.44	0.55	0.75	0.81	0.7	0.65	0.52	0.61	0.77	0.45	0.86	0.5	0.9	0.86	0.95	0.57	0.77	0.46	0.59	0.76	0.38	0.54	0.88	0.87	0.83	0.52	0.83	0.44	0.54	0.47	0.56	0.54	0.69	0.47	0.58	0.86	0.93	0.52	0.46	0.79	0.48	0.6	0.48	0.77	0.57	0.66	0.55	0.55	0.48	0.56	0.59	0.59	1.0	0.85	0.54	0.58	0.57	0.62	0.66	0.73	0.58	0.5	0.52	0.7	0.85	0.5	0.64	0.64	0.6	0.53	0.6	0.53	0.55	0.54	0.58	0.58	0.37	0.82	0.44	0.66	0.51	0.49	0.55	0.61	0.52	0.53	0.54	0.49	0.64	0.83	0.63	0.56	0.83	0.68	0.55	0.57	0.62	0.5	0.63	0.43	0.59	0.54	0.88	0.57	0.8	0.55	0.44	0.91	0.77
CHEMBL109	0.78	0.57	0.84	0.84	0.84	0.0	0.85	0.82	0.88	0.77	0.85	0.63	0.81	0.83	0.85	0.72	0.58	0.7	0.86	0.59	0.82	0.68	0.87	0.76	0.6	0.93	0.5	0.89	0.8	0.79	0.9	0.72	0.94	0.58	0.78	0.68	0.77	0.79	0.89	0.86	0.59	0.82	0.82	0.82	0.9	0.78	0.63	0.82	0.85	0.89	0.88	0.76	0.85	0.59	0.65	0.83	0.93	0.82	0.79	0.75	0.71	0.83	0.67	0.82	0.87	0.69	0.86	0.84	0.88	0.91	0.84	0.85	0.85	0.67	0.81	0.76	0.87	0.88	0.84	0.79	0.82	0.78	1.0	0.69	0.7	0.72	0.84	0.9	0.82	0.86	0.76	0.85	0.88	0.78	0.79	0.83	0.58	0.66	0.77	0.87	0.82	0.89	0.79	0.89	0.72	0.85	0.83	0.75	0.89	0.81	0.82	0.77	0.88	0.9	0.91	0.76	0.77	0.75	0.78	0.7	0.91	0.86	0.73	0.8	0.79	0.8	0.84	0.82	0.88	0.84	0.85	0.88	0.83	0.82	0.9	0.86	0.89	0.81	0.64
CHEMBL11	0.33	0.74	0.61	0.21	0.52	0.85	0.0	0.48	0.8	0.58	0.29	0.79	0.49	0.53	0.17	0.55	0.87	0.8	0.61	0.79	0.5	0.87	0.32	0.41	0.74	0.53	0.87	0.89	0.61	0.63	0.61	0.64	0.82	0.82	0.73	0.6	0.59	0.46	0.6	0.5	0.87	0.49	0.84	0.86	0.91	0.69	0.75	0.53	0.65	0.81	0.52	0.45	0.92	0.89	0.87	0.43	0.71	0.47	0.67	0.4	0.67	0.6	0.74	0.58	0.56	0.8	0.92	0.5	0.59	0.8	0.6	0.38	0.64	0.76	0.69	0.49	0.12	0.31	0.6	0.54	0.69	0.71	1.0	0.82	0.66	0.6	0.6	0.35	0.68	0.6	0.62	0.56	0.36	0.71	0.8	0.39	0.56	0.72	0.54	0.53	0.72	0.58	0.7	0.69	0.53	0.63	0.57	0.87	0.53	0.32	0.62	0.49	0.5	0.32	0.43	0.64	0.66	0.41	0.62	0.86	0.36	0.37	0.68	0.5	0.47	0.37	0.31	0.52	0.48	0.6	0.26	0.68	0.86	0.41	0.82	0.49	0.33	0.81	0.67
CHEMBL112	0.4	0.73	0.52	0.4	0.52	0.82	0.48	0.0	0.78	0.51	0.49	0.82	0.56	0.49	0.49	0.58	0.8	0.76	0.53	0.71	0.4	0.77	0.54	0.4	0.75	0.63	0.81	0.92	0.52	0.62	0.55	0.55	0.83	0.76	0.66	0.63	0.55	0.52	0.64	0.15	0.81	0.53	0.89	0.87	0.91	0.63	0.75	0.18	0.53	0.78	0.52	0.49	0.84	0.8	0.81	0.52	0.74	0.46	0.58	0.34	0.52	0.49	0.7	0.51	0.3	0.78	0.89	0.55	0.55	0.82	0.51	0.54	0.59	0.77	0.61	0.54	0.52	0.55	0.5	0.43	0.65	0.64	1.0	0.77	0.52	0.43	0.53	0.54	0.73	0.58	0.49	0.59	0.59	0.68	0.78	0.53	0.56	0.7	0.55	0.63	0.67	0.43	0.53	0.53	0.53	0.57	0.5	0.77	0.46	0.62	0.6	0.46	0.55	0.5	0.63	0.53	0.61	0.36	0.54	0.82	0.54	0.55	0.81	0.57	0.5	0.39	0.59	0.54	0.64	0.52	0.47	0.52	0.85	0.59	0.81	0.53	0.54	0.89	0.72
CHEMBL113	0.73	0.89	0.85	0.76	0.75	0.88	0.8	0.78	0.0	0.82	0.72	0.85	0.79	0.88	0.78	0.86	0.85	0.78	0.75	0.82	0.82	0.78	0.86	0.82	0.87	0.61	0.84	0.81	0.84	0.78	0.65	0.9	0.45	0.75	0.86	0.88	0.87	0.72	0.93	0.79	0.84	0.87	0.87	0.84	0.94	0.89	0.87	0.8	0.78	0.09	0.75	0.83	0.75	0.84	0.86	0.78	0.94	0.8	0.88	0.79	0.89	0.8	0.87	0.88	0.86	0.86	0.85	0.65	0.64	0.46	0.81	0.85	0.8	0.88	0.88	0.76	0.81	0.73	0.71	0.84	0.88	0.9	1.0	0.81	0.9	0.87	0.83	0.8	0.48	0.81	0.91	0.7	0.7	0.75	0.79	0.65	0.88	0.83	0.84	0.51	0.89	0.87	0.89	0.74	0.78	0.63	0.73	0.88	0.72	0.87	0.85	0.87	0.68	0.79	0.66	0.9	0.9	0.79	0.91	0.75	0.81	0.8	0.86	0.81	0.77	0.77	0.86	0.88	0.83	0.66	0.86	0.81	0.84	0.82	0.64	0.66	0.74	0.87	0.9
CHEMBL1177	0.53	0.61	0.5	0.52	0.54	0.77	0.58	0.51	0.82	0.0	0.58	0.72	0.55	0.43	0.56	0.38	0.76	0.68	0.52	0.65	0.47	0.82	0.56	0.5	0.66	0.7	0.8	0.87	0.51	0.61	0.64	0.45	0.88	0.78	0.67	0.52	0.45	0.41	0.64	0.48	0.82	0.46	0.89	0.82	0.92	0.51	0.65	0.49	0.55	0.82	0.6	0.47	0.82	0.83	0.77	0.59	0.74	0.46	0.52	0.46	0.46	0.46	0.59	0.49	0.58	0.76	0.88	0.62	0.58	0.85	0.56	0.58	0.6	0.65	0.55	0.39	0.62	0.62	0.6	0.44	0.54	0.57	1.0	0.82	0.46	0.42	0.5	0.69	0.71	0.6	0.48	0.62	0.65	0.66	0.8	0.55	0.42	0.6	0.46	0.62	0.54	0.56	0.49	0.58	0.41	0.58	0.57	0.77	0.57	0.55	0.48	0.43	0.59	0.68	0.66	0.46	0.46	0.47	0.56	0.75	0.7	0.63	0.8	0.52	0.57	0.53	0.57	0.44	0.62	0.52	0.52	0.55	0.84	0.54	0.81	0.59	0.61	0.9	0.67
CHEMBL12	0.39	0.75	0.61	0.32	0.5	0.85	0.29	0.49	0.72	0.58	0.0	0.8	0.4	0.58	0.29	0.59	0.84	0.75	0.55	0.77	0.48	0.81	0.43	0.38	0.75	0.55	0.85	0.89	0.61	0.62	0.6	0.66	0.8	0.78	0.75	0.63	0.62	0.45	0.68	0.51	0.86	0.57	0.87	0.86	0.93	0.7	0.72	0.55	0.66	0.74	0.53	0.5	0.88	0.86	0.86	0.48	0.69	0.48	0.68	0.47	0.69	0.59	0.75	0.62	0.62	0.8	0.89	0.45	0.5	0.79	0.55	0.48	0.61	0.77	0.7	0.52	0.24	0.26	0.59	0.56	0.71	0.72	0.99	0.82	0.68	0.62	0.52	0.49	0.61	0.54	0.66	0.51	0.32	0.71	0.77	0.38	0.6	0.74	0.5	0.41	0.67	0.62	0.64	0.62	0.51	0.59	0.48	0.87	0.45	0.47	0.64	0.56	0.49	0.44	0.31	0.66	0.61	0.47	0.67	0.82	0.41	0.45	0.75	0.54	0.5	0.4	0.46	0.58	0.48	0.57	0.41	0.64	0.84	0.38	0.81	0.47	0.4	0.86	0.72
CHEMBL1200688	0.78	0.49	0.72	0.83	0.77	0.63	0.79	0.82	0.85	0.72	0.8	0.0	0.79	0.74	0.8	0.51	0.66	0.44	0.79	0.49	0.73	0.74	0.86	0.74	0.65	0.89	0.68	0.89	0.62	0.73	0.85	0.73	0.91	0.63	0.44	0.73	0.67	0.77	0.93	0.82	0.71	0.73	0.85	0.75	0.91	0.66	0.67	0.76	0.8	0.86	0.79	0.7	0.88	0.72	0.79	0.7	0.96	0.71	0.73	0.74	0.73	0.74	0.29	0.68	0.85	0.84	0.89	0.83	0.76	0.89	0.75	0.85	0.66	0.61	0.75	0.75	0.81	0.84	0.78	0.63	0.68	0.62	1.0	0.68	0.71	0.69	0.75	0.83	0.77	0.85	0.78	0.71	0.82	0.48	0.78	0.76	0.69	0.43	0.68	0.82	0.7	0.84	0.79	0.86	0.6	0.81	0.77	0.5	0.79	0.77	0.67	0.68	0.85	0.84	0.86	0.8	0.7	0.73	0.79	0.7	0.85	0.78	0.67	0.8	0.7	0.82	0.79	0.72	0.84	0.74	0.84	0.86	0.8	0.67	0.91	0.83	0.86	0.83	0.75
CHEMBL1200714	0.49	0.73	0.61	0.48	0.65	0.81	0.49	0.56	0.79	0.55	0.4	0.79	0.0	0.58	0.51	0.58	0.81	0.7	0.65	0.73	0.53	0.74	0.54	0.49	0.75	0.59	0.8	0.91	0.62	0.68	0.63	0.65	0.83	0.71	0.73	0.52	0.6	0.47	0.65	0.58	0.74	0.58	0.86	0.83	0.92	0.69	0.71	0.6	0.59	0.81	0.64	0.58	0.8	0.77	0.83	0.59	0.66	0.52	0.68	0.56	0.64	0.5	0.73	0.62	0.67	0.77	0.88	0.51	0.59	0.82	0.56	0.57	0.7	0.77	0.7	0.45	0.42	0.5	0.63	0.57	0.7	0.72	0.99	0.83	0.64	0.6	0.47	0.51	0.69	0.39	0.64	0.6	0.47	0.71	0.76	0.53	0.56	0.71	0.44	0.53	0.67	0.63	0.59	0.69	0.51	0.6	0.6	0.85	0.57	0.49	0.64	0.55	0.56	0.5	0.58	0.62	0.59	0.57	0.66	0.78	0.44	0.5	0.75	0.4	0.59	0.49	0.46	0.59	0.3	0.59	0.53	0.7	0.8	0.37	0.8	0.56	0.59	0.83	0.72
CHEMBL1201082	0.6	0.66	0.39	0.56	0.5	0.83	0.53	0.49	0.88	0.43	0.58	0.74	0.58	0.0	0.54	0.42	0.79	0.71	0.52	0.71	0.5	0.83	0.59	0.55	0.72	0.72	0.84	0.9	0.49	0.62	0.57	0.4	0.89	0.83	0.6	0.56	0.32	0.55	0.66	0.38	0.84	0.21	0.87	0.83	0.89	0.45	0.72	0.4	0.49	0.87	0.48	0.53	0.88	0.85	0.79	0.58	0.74	0.43	0.44	0.51	0.43	0.43	0.6	0.24	0.58	0.79	0.9	0.66	0.53	0.85	0.51	0.6	0.57	0.69	0.48	0.54	0.56	0.59	0.61	0.38	0.46	0.5	1.0	0.77	0.38	0.44	0.42	0.64	0.79	0.59	0.38	0.66	0.62	0.67	0.78	0.61	0.54	0.64	0.45	0.69	0.5	0.46	0.43	0.58	0.48	0.62	0.56	0.76	0.49	0.46	0.38	0.22	0.67	0.63	0.67	0.36	0.38	0.52	0.47	0.85	0.64	0.57	0.71	0.51	0.58	0.56	0.5	0.19	0.6	0.5	0.53	0.57	0.8	0.51	0.87	0.64	0.63	0.87	0.66
CHEMBL1201088	0.35	0.73	0.63	0.29	0.51	0.85	0.17	0.49	0.78	0.56	0.29	0.8	0.51	0.54	0.0	0.56	0.88	0.81	0.58	0.8	0.5	0.88	0.32	0.45	0.73	0.51	0.88	0.86	0.61	0.61	0.59	0.64	0.79	0.84	0.73	0.6	0.6	0.46	0.6	0.52	0.88	0.52	0.86	0.88	0.92	0.69	0.74	0.54	0.66	0.79	0.49	0.48	0.91	0.9	0.87	0.47	0.71	0.51	0.67	0.45	0.67	0.62	0.74	0.59	0.57	0.8	0.92	0.5	0.57	0.77	0.62	0.35	0.63	0.75	0.69	0.5	0.26	0.34	0.58	0.56	0.69	0.7	1.0	0.84	0.66	0.6	0.61	0.38	0.65	0.61	0.62	0.56	0.32	0.73	0.81	0.36	0.56	0.74	0.55	0.51	0.72	0.58	0.7	0.68	0.55	0.62	0.56	0.88	0.52	0.35	0.63	0.5	0.48	0.35	0.42	0.64	0.66	0.45	0.62	0.86	0.4	0.4	0.69	0.52	0.48	0.41	0.34	0.52	0.5	0.59	0.22	0.67	0.88	0.43	0.78	0.47	0.31	0.84	0.67
CHEMBL1201089	0.58	0.49	0.5	0.6	0.53	0.72	0.55	0.58	0.86	0.38	0.59	0.51	0.58	0.42	0.56	0.0	0.75	0.65	0.6	0.65	0.5	0.79	0.62	0.53	0.63	0.74	0.76	0.91	0.4	0.6	0.68	0.42	0.9	0.74	0.56	0.47	0.35	0.55	0.67	0.57	0.78	0.38	0.88	0.8	0.93	0.45	0.62	0.52	0.59	0.87	0.58	0.47	0.89	0.79	0.73	0.56	0.76	0.44	0.46	0.49	0.41	0.52	0.44	0.4	0.62	0.78	0.91	0.67	0.58	0.89	0.56	0.61	0.54	0.58	0.49	0.54	0.59	0.65	0.6	0.42	0.46	0.45	1.0	0.78	0.39	0.43	0.53	0.67	0.76	0.64	0.45	0.59	0.64	0.6	0.84	0.6	0.4	0.4	0.42	0.68	0.48	0.6	0.47	0.66	0.4	0.61	0.57	0.71	0.58	0.47	0.39	0.36	0.68	0.65	0.69	0.46	0.39	0.49	0.51	0.75	0.68	0.59	0.78	0.57	0.56	0.63	0.53	0.34	0.63	0.55	0.59	0.65	0.85	0.46	0.89	0.67	0.67	0.87	0.64
CHEMBL1201093	0.81	0.73	0.8	0.85	0.85	0.58	0.87	0.8	0.85	0.76	0.84	0.66	0.81	0.79	0.88	0.75	0.0	0.67	0.82	0.63	0.8	0.57	0.9	0.79	0.77	0.9	0.47	0.81	0.8	0.82	0.88	0.81	0.91	0.55	0.74	0.81	0.79	0.79	0.91	0.8	0.56	0.83	0.74	0.7	0.74	0.83	0.78	0.8	0.76	0.83	0.86	0.76	0.8	0.5	0.68	0.85	0.94	0.81	0.84	0.79	0.81	0.8	0.7	0.82	0.86	0.73	0.78	0.85	0.87	0.87	0.8	0.88	0.84	0.8	0.85	0.78	0.87	0.88	0.85	0.79	0.85	0.85	0.98	0.65	0.8	0.74	0.81	0.89	0.83	0.8	0.86	0.83	0.89	0.76	0.69	0.83	0.77	0.69	0.79	0.87	0.85	0.83	0.79	0.82	0.69	0.86	0.84	0.6	0.85	0.86	0.81	0.8	0.84	0.88	0.9	0.83	0.81	0.79	0.89	0.64	0.88	0.88	0.74	0.8	0.77	0.82	0.86	0.83	0.88	0.83	0.86	0.8	0.68	0.83	0.87	0.82	0.9	0.78	0.83
CHEMBL1201097	0.73	0.63	0.66	0.8	0.77	0.7	0.8	0.76	0.78	0.68	0.75	0.44	0.7	0.71	0.81	0.65	0.67	0.0	0.71	0.46	0.64	0.6	0.85	0.73	0.71	0.81	0.66	0.87	0.62	0.75	0.75	0.78	0.82	0.46	0.51	0.72	0.73	0.68	0.94	0.76	0.61	0.76	0.84	0.74	0.88	0.76	0.71	0.71	0.67	0.77	0.78	0.69	0.78	0.62	0.83	0.66	0.95	0.63	0.79	0.74	0.78	0.63	0.51	0.67	0.84	0.86	0.85	0.77	0.72	0.76	0.68	0.85	0.68	0.69	0.8	0.72	0.81	0.79	0.76	0.61	0.75	0.72	1.0	0.6	0.77	0.69	0.68	0.79	0.72	0.77	0.8	0.58	0.81	0.43	0.69	0.74	0.75	0.52	0.7	0.76	0.76	0.79	0.83	0.77	0.45	0.73	0.73	0.5	0.75	0.8	0.73	0.72	0.82	0.78	0.83	0.84	0.77	0.73	0.82	0.68	0.81	0.73	0.64	0.72	0.66	0.76	0.8	0.75	0.77	0.66	0.83	0.82	0.75	0.66	0.81	0.78	0.85	0.8	0.78
CHEMBL1201288	0.56	0.74	0.5	0.58	0.48	0.86	0.61	0.53	0.75	0.52	0.55	0.79	0.65	0.52	0.58	0.6	0.82	0.71	0.0	0.74	0.45	0.84	0.63	0.56	0.75	0.66	0.86	0.92	0.55	0.52	0.53	0.56	0.77	0.79	0.76	0.67	0.55	0.48	0.78	0.47	0.86	0.53	0.9	0.87	0.94	0.55	0.75	0.48	0.4	0.74	0.51	0.43	0.82	0.87	0.84	0.59	0.83	0.47	0.51	0.5	0.51	0.43	0.71	0.54	0.55	0.84	0.87	0.63	0.49	0.81	0.44	0.56	0.46	0.75	0.54	0.56	0.64	0.6	0.51	0.49	0.55	0.61	1.0	0.86	0.56	0.53	0.47	0.69	0.67	0.68	0.59	0.54	0.63	0.66	0.77	0.55	0.63	0.72	0.57	0.58	0.58	0.46	0.62	0.18	0.51	0.55	0.46	0.84	0.45	0.69	0.49	0.53	0.56	0.67	0.59	0.54	0.53	0.5	0.66	0.84	0.7	0.65	0.83	0.63	0.51	0.53	0.67	0.54	0.69	0.43	0.57	0.3	0.89	0.64	0.81	0.55	0.62	0.92	0.8
CHEMBL123292	0.71	0.51	0.7	0.76	0.81	0.59	0.79	0.71	0.82	0.65	0.77	0.49	0.73	0.71	0.8	0.65	0.63	0.46	0.74	0.0	0.67	0.68	0.83	0.68	0.6	0.88	0.69	0.88	0.64	0.72	0.82	0.72	0.9	0.59	0.64	0.72	0.75	0.66	0.91	0.74	0.71	0.75	0.84	0.77	0.87	0.74	0.62	0.67	0.78	0.82	0.78	0.64	0.8	0.72	0.8	0.71	0.94	0.73	0.73	0.68	0.73	0.69	0.54	0.71	0.83	0.8	0.85	0.78	0.79	0.87	0.75	0.81	0.71	0.58	0.75	0.61	0.81	0.8	0.76	0.58	0.72	0.74	1.0	0.64	0.73	0.66	0.7	0.84	0.71	0.8	0.76	0.7	0.81	0.6	0.7	0.73	0.66	0.61	0.66	0.79	0.74	0.82	0.82	0.82	0.56	0.78	0.74	0.63	0.81	0.78	0.71	0.7	0.81	0.84	0.85	0.8	0.73	0.68	0.77	0.72	0.85	0.78	0.58	0.74	0.65	0.72	0.77	0.76	0.82	0.73	0.78	0.84	0.74	0.73	0.88	0.79	0.8	0.83	0.71
CHEMBL130	0.52	0.68	0.5	0.48	0.55	0.82	0.5	0.4	0.82	0.47	0.48	0.73	0.53	0.5	0.5	0.5	0.8	0.64	0.45	0.67	0.0	0.77	0.55	0.42	0.74	0.69	0.8	0.92	0.53	0.59	0.62	0.6	0.82	0.74	0.6	0.63	0.56	0.53	0.71	0.45	0.8	0.56	0.87	0.82	0.91	0.65	0.72	0.44	0.55	0.81	0.56	0.39	0.87	0.81	0.83	0.48	0.76	0.48	0.64	0.42	0.59	0.51	0.63	0.49	0.43	0.82	0.87	0.57	0.54	0.84	0.5	0.46	0.57	0.72	0.66	0.55	0.52	0.55	0.57	0.41	0.66	0.65	0.98	0.73	0.59	0.49	0.51	0.6	0.73	0.58	0.57	0.54	0.58	0.58	0.7	0.54	0.57	0.64	0.5	0.6	0.67	0.48	0.62	0.55	0.43	0.57	0.55	0.72	0.53	0.6	0.61	0.51	0.58	0.59	0.62	0.6	0.61	0.43	0.61	0.82	0.6	0.53	0.76	0.54	0.46	0.39	0.58	0.55	0.61	0.54	0.46	0.56	0.77	0.49	0.84	0.55	0.58	0.89	0.7
CHEMBL1314	0.81	0.81	0.81	0.84	0.86	0.68	0.87	0.77	0.78	0.82	0.81	0.74	0.74	0.83	0.88	0.79	0.57	0.6	0.84	0.68	0.77	0.0	0.9	0.8	0.84	0.86	0.38	0.79	0.82	0.88	0.87	0.86	0.86	0.37	0.73	0.81	0.81	0.78	0.93	0.8	0.44	0.86	0.69	0.67	0.74	0.89	0.85	0.79	0.76	0.76	0.9	0.82	0.71	0.37	0.74	0.87	0.96	0.79	0.9	0.8	0.86	0.78	0.76	0.8	0.89	0.79	0.71	0.8	0.87	0.77	0.8	0.91	0.85	0.86	0.91	0.78	0.88	0.87	0.84	0.78	0.92	0.89	1.0	0.5	0.85	0.8	0.8	0.85	0.82	0.72	0.9	0.79	0.89	0.72	0.64	0.83	0.82	0.73	0.83	0.87	0.92	0.86	0.86	0.83	0.66	0.82	0.87	0.71	0.85	0.84	0.85	0.84	0.83	0.85	0.91	0.88	0.89	0.8	0.9	0.51	0.86	0.83	0.71	0.72	0.8	0.79	0.86	0.85	0.84	0.79	0.89	0.87	0.66	0.82	0.81	0.8	0.9	0.69	0.84
